2023-06-14 08:00:37.315628 UTC
public1-skupper-router-86cd45c9df-27nvg

Connections
  id      host             container                                               role               proto  dir  security                         authentication                                  meshId  last dlv      uptime
  =====================================================================================================================================================================================================================================
  24      10.85.0.1:48058  YVJYOw98N05HIZSJv6MxHJrJlMoWTMgpk7J660iv7yubMo7aA-2d6w  normal             amqp   in   TLSv1.3(TLS_AES_128_GCM_SHA256)  CN=skupper-router-local(x.509)                          000:00:00:01  000:00:18:09
  267055  10.85.0.1:17300  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267056  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267057  10.85.0.1:30295  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267058  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267059  10.85.0.1:11796  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267060  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267061  10.85.0.1:18755  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267062  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267063  10.85.0.1:10643  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267064  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267065  10.85.0.1:17698  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267066  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267068  10.85.0.1:1604   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267069  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267070  10.85.0.1:4773   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267071  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267072  10.85.0.1:38716  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267073  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267074  10.85.0.1:8674   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267075  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267076  10.85.0.1:65348  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267077  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267078  10.85.0.1:25159  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267079  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267080  10.85.0.1:20377  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267081  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267082  10.85.0.1:2516   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267083  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267084  10.85.0.1:57274  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267085  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267086  10.85.0.1:55346  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267087  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267088  10.85.0.1:50492  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267089  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267090  10.85.0.1:5616   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267091  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267092  10.85.0.1:9111   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267093  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267094  10.85.0.1:11308  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267095  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267096  10.85.0.1:59664  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267097  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267098  10.85.0.1:47665  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267099  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
